date,temperature_2m_max,temperature_2m_min,precipitation_sum,shortwave_radiation_sum,wind_speed_10m_max,relative_humidity_2m_mean,ndvi_mean,ndmi_mean,ndre_mean,evi_mean,gndvi_mean,msi_mean,ndvi_mean_daily,precip_7d,tmean,tmean_7d,rh_7d
2019-01-01,5.2000,1.0000,0.1000,3.8400,10.2000,88,,,,,,,0.2065,0.1000,3.1000,3.1000,88.0000
2019-01-02,7.1000,-0.1000,0.0000,5.9700,7.1000,82,,,,,,,0.2065,0.1000,3.5000,3.3000,85.0000
2019-01-03,4.4000,2.5000,0.0000,2.3400,11.6000,84,,,,,,,0.2065,0.1000,3.4500,3.3500,84.6667
2019-01-04,9.5000,0.4000,0.1000,10.9100,7.6000,74,,,,,,,0.2065,0.2000,4.9500,3.7500,82.0000
2019-01-05,9.6000,1.2000,0.0000,9.6900,10.2000,69,0.2065,0.1448,0.1429,-1.2280,0.1360,0.7515,0.2065,0.2000,5.4000,4.0800,79.4000
2019-01-06,8.9000,3.8000,0.0000,5.0900,11.0000,75,,,,,,,0.2132,0.2000,6.3500,4.4583,78.6667
2019-01-07,10.1000,4.7000,0.1000,6.8900,11.1000,71,,,,,,,0.2200,0.3000,7.4000,4.8786,77.5714
2019-01-08,6.7000,4.3000,0.3000,1.8600,13.7000,62,,,,,,,0.2267,0.5000,5.5000,5.2214,73.8571
2019-01-09,8.9000,3.8000,0.0000,6.5100,9.1000,73,,,,,,,0.2335,0.5000,6.3500,5.6286,72.5714
2019-01-10,6.8000,3.8000,1.0000,2.5800,13.5000,85,,,,,,,0.2402,1.5000,5.3000,5.8929,72.7143
2019-01-11,11.8000,0.2000,0.0000,12.9300,9.6000,75,,,,,,,0.2469,1.4000,6.0000,6.0429,72.8571
2019-01-12,8.8000,2.0000,0.2000,4.9100,11.9000,79,,,,,,,0.2537,1.6000,5.4000,6.0429,74.2857
2019-01-13,10.9000,0.8000,0.0000,10.5700,10.2000,80,,,,,,,0.2604,1.6000,5.8500,5.9714,75.0000
2019-01-14,10.4000,4.1000,0.0000,6.3700,12.0000,76,,,,,,,0.2672,1.5000,7.2500,5.9500,75.7143
2019-01-15,10.7000,4.3000,0.0000,9.4600,18.5000,59,,,,,,,0.2739,1.2000,7.5000,6.2357,75.2857
2019-01-16,9.2000,-0.9000,0.2000,9.4500,10.0000,78,,,,,,,0.2806,1.4000,4.1500,5.9214,76.0000
2019-01-17,8.7000,4.6000,0.0000,3.4800,9.0000,79,,,,,,,0.2874,0.4000,6.6500,6.1143,75.1429
2019-01-18,7.2000,4.4000,0.7000,2.7100,12.0000,84,,,,,,,0.2941,1.1000,5.8000,6.0857,76.4286
2019-01-19,11.9000,3.8000,0.0000,11.5000,8.3000,63,,,,,,,0.3009,0.9000,7.8500,6.4357,74.1429
2019-01-20,11.6000,2.0000,0.3000,7.8800,19.5000,63,,,,,,,0.3076,1.2000,6.8000,6.5714,71.7143
2019-01-21,10.4000,1.4000,0.0000,11.4800,8.7000,65,,,,,,,0.3143,1.2000,5.9000,6.3786,70.1429
2019-01-22,11.6000,-1.4000,0.0000,14.0400,10.2000,70,,,,,,,0.3211,1.2000,5.1000,6.0357,71.7143
2019-01-23,12.9000,0.2000,0.0000,13.3300,9.1000,74,,,,,,,0.3278,1.0000,6.5500,6.3786,71.1429
