doy,p10,p25,p50,p75,p90,n
1,0.4609,0.4609,0.4609,0.4609,0.4609,1
2,0.4562,0.4562,0.4562,0.4562,0.4562,1
3,0.4517,0.4517,0.4517,0.4517,0.4517,1
4,0.4474,0.4474,0.4474,0.4474,0.4474,1
5,0.4433,0.4433,0.4433,0.4433,0.4433,1
6,0.4394,0.4394,0.4394,0.4394,0.4394,1
7,0.4358,0.4358,0.4358,0.4358,0.4358,1
8,0.4323,0.4323,0.4323,0.4323,0.4323,1
9,0.4333,0.4333,0.4333,0.4333,0.4333,1
10,0.4343,0.4343,0.4343,0.4343,0.4343,1
11,0.4356,0.4356,0.4356,0.4356,0.4356,1
12,0.4369,0.4369,0.4369,0.4369,0.4369,1
13,0.4384,0.4384,0.4384,0.4384,0.4384,1
14,0.4400,0.4400,0.4400,0.4400,0.4400,1
15,0.4417,0.4417,0.4417,0.4417,0.4417,1
16,0.4436,0.4436,0.4436,0.4436,0.4436,1
17,0.4456,0.4456,0.4456,0.4456,0.4456,1
18,0.4476,0.4476,0.4476,0.4476,0.4476,1
19,0.4497,0.4497,0.4497,0.4497,0.4497,1
20,0.4517,0.4517,0.4517,0.4517,0.4517,1
21,0.4537,0.4537,0.4537,0.4537,0.4537,1
22,0.4557,0.4557,0.4557,0.4557,0.4557,1
23,0.4577,0.4577,0.4577,0.4577,0.4577,1
24,0.4597,0.4597,0.4597,0.4597,0.4597,1
25,0.4617,0.4617,0.4617,0.4617,0.4617,1
26,0.4638,0.4638,0.4638,0.4638,0.4638,1
27,0.4658,0.4658,0.4658,0.4658,0.4658,1
28,0.4678,0.4678,0.4678,0.4678,0.4678,1
29,0.4698,0.4698,0.4698,0.4698,0.4698,1
30,0.4718,0.4718,0.4718,0.4718,0.4718,1
31,0.4738,0.4738,0.4738,0.4738,0.4738,1
32,0.4758,0.4758,0.4758,0.4758,0.4758,1
33,0.4779,0.4779,0.4779,0.4779,0.4779,1
34,0.4799,0.4799,0.4799,0.4799,0.4799,1
35,0.4818,0.4818,0.4818,0.4818,0.4818,1
36,0.4836,0.4836,0.4836,0.4836,0.4836,1
37,0.4852,0.4852,0.4852,0.4852,0.4852,1
38,0.4868,0.4868,0.4868,0.4868,0.4868,1
39,0.4882,0.4882,0.4882,0.4882,0.4882,1
40,0.4896,0.4896,0.4896,0.4896,0.4896,1
41,0.4908,0.4908,0.4908,0.4908,0.4908,1
42,0.4919,0.4919,0.4919,0.4919,0.4919,1
43,0.4929,0.4929,0.4929,0.4929,0.4929,1
44,0.4937,0.4937,0.4937,0.4937,0.4937,1
45,0.4945,0.4945,0.4945,0.4945,0.4945,1
46,0.4952,0.4952,0.4952,0.4952,0.4952,1
47,0.4957,0.4957,0.4957,0.4957,0.4957,1
48,0.4961,0.4961,0.4961,0.4961,0.4961,1
49,0.4964,0.4964,0.4964,0.4964,0.4964,1
50,0.4967,0.4967,0.4967,0.4967,0.4967,1
51,0.4971,0.4971,0.4971,0.4971,0.4971,1
52,0.4977,0.4977,0.4977,0.4977,0.4977,1
53,0.4986,0.4986,0.4986,0.4986,0.4986,1
54,0.4996,0.4996,0.4996,0.4996,0.4996,1
55,0.5007,0.5007,0.5007,0.5007,0.5007,1
56,0.5020,0.5020,0.5020,0.5020,0.5020,1
57,0.5034,0.5034,0.5034,0.5034,0.5034,1
58,0.5049,0.5049,0.5049,0.5049,0.5049,1
59,0.5066,0.5066,0.5066,0.5066,0.5066,1
61,0.5084,0.5084,0.5084,0.5084,0.5084,1
62,0.5103,0.5103,0.5103,0.5103,0.5103,1
63,0.5124,0.5124,0.5124,0.5124,0.5124,1
64,0.5146,0.5146,0.5146,0.5146,0.5146,1
65,0.5170,0.5170,0.5170,0.5170,0.5170,1
66,0.5195,0.5195,0.5195,0.5195,0.5195,1
67,0.5219,0.5219,0.5219,0.5219,0.5219,1
68,0.5242,0.5242,0.5242,0.5242,0.5242,1
69,0.5263,0.5263,0.5263,0.5263,0.5263,1
70,0.5282,0.5282,0.5282,0.5282,0.5282,1
71,0.5301,0.5301,0.5301,0.5301,0.5301,1
72,0.5319,0.5319,0.5319,0.5319,0.5319,1
73,0.5336,0.5336,0.5336,0.5336,0.5336,1
74,0.5352,0.5352,0.5352,0.5352,0.5352,1
75,0.5367,0.5367,0.5367,0.5367,0.5367,1
76,0.5382,0.5382,0.5382,0.5382,0.5382,1
77,0.5395,0.5395,0.5395,0.5395,0.5395,1
78,0.5408,0.5408,0.5408,0.5408,0.5408,1
79,0.5419,0.5419,0.5419,0.5419,0.5419,1
80,0.5430,0.5430,0.5430,0.5430,0.5430,1
81,0.5440,0.5440,0.5440,0.5440,0.5440,1
82,0.5450,0.5450,0.5450,0.5450,0.5450,1
83,0.5459,0.5459,0.5459,0.5459,0.5459,1
84,0.5466,0.5466,0.5466,0.5466,0.5466,1
85,0.5473,0.5473,0.5473,0.5473,0.5473,1
86,0.5478,0.5478,0.5478,0.5478,0.5478,1
87,0.5483,0.5483,0.5483,0.5483,0.5483,1
88,0.5486,0.5486,0.5486,0.5486,0.5486,1
89,0.5488,0.5488,0.5488,0.5488,0.5488,1
90,0.5489,0.5489,0.5489,0.5489,0.5489,1
91,0.5489,0.5489,0.5489,0.5489,0.5489,1
92,0.5487,0.5487,0.5487,0.5487,0.5487,1
93,0.5485,0.5485,0.5485,0.5485,0.5485,1
