date,ndvi_mean,ndmi_mean,ndre_mean,evi_mean,gndvi_mean,msi_mean
2019-01-05,0.2065,0.1448,0.1429,-1.2280,0.1360,0.7515
2019-02-04,0.4087,0.1351,0.2779,2.6929,0.3671,0.7923
2019-02-06,0.3637,0.1508,0.2465,3.9199,0.3046,0.7588
2019-02-11,0.4385,0.1320,0.2951,2.7024,0.3959,0.8033
2019-02-21,0.1954,0.1159,0.1346,-1.3602,0.1500,0.7967
2019-03-03,0.2193,0.1645,0.1499,-1.1342,0.1561,0.7368
2019-03-11,0.4514,0.1692,0.3040,2.5809,0.3908,0.7504
2019-03-26,,,,,,
2019-03-28,0.5136,0.1755,0.3338,1.5939,0.4678,0.7495
2019-04-05,0.4886,0.2292,0.3366,2.7761,0.4296,0.6607
2019-04-07,0.5026,0.1750,0.3277,1.9825,0.4516,0.7479
2019-04-15,,,,,,
2019-04-22,0.4680,0.1784,0.3046,2.8960,0.4064,0.7214
2019-04-25,0.4748,0.1673,0.3127,3.0817,0.4119,0.7408
2019-04-27,0.1758,0.1087,0.0998,-0.8241,0.1128,0.8175
2019-05-02,0.4440,0.1612,0.2605,2.3367,0.3819,0.7450
2019-05-12,0.1821,0.0243,0.1004,-1.2279,0.1603,0.9551
2019-05-17,0.2809,0.0584,0.1644,1.4208,0.2432,0.9132
2019-05-25,0.2632,0.1481,0.1704,-2.0291,0.1884,0.7547
2019-06-01,0.4460,0.1219,0.2724,1.8061,0.4008,0.8067
2019-06-06,0.2715,0.0773,0.1624,0.2026,0.2335,0.8714
2019-06-21,0.2285,0.0277,0.1430,-0.5954,0.1857,0.9509
2019-07-01,0.6015,0.1594,0.4139,2.4910,0.5276,0.7531
2019-07-09,0.3054,0.1901,0.2295,-1.7428,0.2227,0.6931
2019-07-21,0.5081,0.1586,0.3637,2.1288,0.4371,0.7446
2019-07-26,,,,,,
2019-08-03,0.5015,0.2724,0.3701,1.9756,0.4103,0.5935
2019-08-10,,,,,,
2019-08-13,0.4270,0.2132,0.3089,-2.1491,0.3281,0.6687
2019-08-15,0.6210,0.2099,0.4179,2.2532,0.5470,0.6872
2019-08-18,,,,,,
2019-08-23,0.5925,0.2556,0.4060,4.4205,0.4940,0.6146
2019-08-28,0.5900,0.2221,0.3903,2.9072,0.5009,0.6649
2019-08-28,0.5927,0.2220,0.3915,2.8065,0.5044,0.6650
2019-09-22,0.4407,0.1232,0.2798,3.4947,0.3793,0.8089
2019-09-27,0.4046,0.0908,0.2486,3.9073,0.3518,0.8587
2019-10-12,,,,,,
2019-10-17,0.3630,0.0687,0.2213,1.5187,0.3454,0.8932
2019-10-29,0.3695,0.0560,0.2201,2.5937,0.3171,0.9170
2019-12-06,0.1512,0.0808,0.0833,-0.6890,0.1024,0.8575
2019-12-08,0.2686,0.1787,0.1653,-1.7695,0.1772,0.7099
2019-12-21,0.4593,0.1645,0.2857,3.6255,0.3858,0.7421
2019-12-28,0.3238,0.2762,0.2110,-1.2477,0.2577,0.5722
2020-01-07,0.4455,0.1726,0.2940,3.7774,0.3687,0.7367
2020-01-12,0.2094,0.1218,0.1367,-1.6350,0.1698,0.7890
2020-01-20,0.1779,0.1299,0.1259,-1.0204,0.1244,0.7775
2020-01-25,,,,,,
2020-02-06,0.4852,0.2078,0.3160,2.1793,0.4075,0.6990
2020-02-09,0.5352,0.2032,0.3603,2.6654,0.4652,0.7080
2020-02-11,0.4813,0.1798,0.3156,3.7168,0.4096,0.7312
2020-02-16,0.4606,0.1848,0.3108,2.1379,0.4135,0.7209
2020-02-19,0.4381,0.2172,0.3066,3.0732,0.3763,0.6724
2020-02-21,0.4181,0.1777,0.2642,2.6690,0.3707,0.7201
2020-02-26,,,,,,
2020-02-29,0.4911,0.1659,0.3285,2.4766,0.4381,0.7641
2020-03-07,0.3322,0.1561,0.2197,0.3322,0.2676,0.7594
2020-03-12,0.3589,0.2165,0.2453,1.7758,0.2898,0.6720
2020-03-20,0.4932,0.1783,0.3347,2.2149,0.4510,0.7473
2020-03-22,,,,,,
2020-03-25,0.3763,0.1916,0.2611,2.2555,0.3089,0.7040
2020-04-09,,,,,,
2020-04-14,0.4410,0.1958,0.2797,2.4157,0.3804,0.6964
2020-04-24,0.3662,0.2022,0.2279,2.8616,0.3201,0.6752
2020-04-26,0.4284,0.1300,0.2573,2.0702,0.3901,0.7907
2020-05-01,0.2596,0.0882,0.1614,1.2849,0.2387,0.8411
2020-05-04,0.2788,0.0340,0.1607,1.7824,0.2774,0.9567
2020-05-06,0.0944,0.0559,0.0366,-0.3745,0.0547,0.9048
2020-05-14,0.3264,0.0834,0.2030,2.0643,0.3142,0.8659
2020-05-19,0.3049,0.0685,0.1959,2.8534,0.2848,0.8929
2020-05-29,0.4062,0.1199,0.2606,2.5258,0.3637,0.8102
2020-05-31,0.3332,0.0987,0.2024,1.5919,0.2664,0.8423
2020-06-03,,,,,,
2020-06-05,0.4563,0.1169,0.2829,2.2167,0.4042,0.8163
2020-06-10,,,,,,
2020-06-15,0.1714,0.0584,0.1026,-1.0963,0.1263,0.8924
2020-06-23,0.3128,0.1379,0.2051,-0.6414,0.2629,0.7601
2020-06-25,0.5504,0.1495,0.3814,5.0427,0.4636,0.7596
2020-07-03,0.3883,0.1501,0.2725,2.0220,0.3278,0.7467
2020-07-08,0.5155,0.2187,0.3825,4.5026,0.4214,0.6576
2020-07-28,0.2234,0.1060,0.1595,-1.0527,0.1713,0.8130
2020-08-04,0.3873,0.1306,0.2722,0.5428,0.3220,0.7806
2020-08-09,0.3770,0.1737,0.2749,-1.0088,0.2975,0.7129
2020-08-24,0.4233,0.1942,0.2847,0.3823,0.3679,0.6946
2020-08-27,0.6021,0.1897,0.4009,2.3424,0.5304,0.7204
2020-08-29,0.4361,0.1914,0.2860,1.9230,0.3532,0.7026
2020-09-01,0.2033,0.1091,0.1178,-0.6162,0.1559,0.8091
2020-10-21,0.4511,0.0734,0.2754,1.6177,0.4158,0.8950
2020-11-07,0.3990,0.0265,0.2335,1.9624,0.3610,0.9901
2020-12-20,0.3541,0.1849,0.2282,0.9597,0.2716,0.6994
2021-01-01,0.3226,0.1888,0.2073,-3.9993,0.2351,0.6942
2021-01-11,0.3792,0.1254,0.2452,3.0812,0.3287,0.7956
2021-01-14,0.3623,0.1527,0.2406,1.7770,0.2943,0.7559
2021-01-19,0.0370,0.2590,0.0196,-0.0994,-0.0342,0.5903
2021-01-21,0.2534,0.1515,0.1581,-1.6380,0.2019,0.7438
2021-01-31,0.3923,0.1100,0.2521,2.8737,0.3488,0.8299
2021-02-03,0.1656,0.2006,0.1386,-0.7021,0.1008,0.6734
2021-02-05,0.3939,0.1218,0.2562,2.5966,0.3531,0.8126
2021-02-10,0.3173,0.1488,0.2231,-5.6255,0.2599,0.7614
2021-02-18,0.4075,0.2437,0.2725,0.7023,0.3327,0.6416
2021-02-20,0.4410,0.1455,0.2961,3.6995,0.3846,0.7869
2021-02-23,0.3492,0.2003,0.2568,-4.9417,0.2704,0.6899
2021-03-05,0.3402,0.2115,0.2336,-1.9307,0.2679,0.6722
2021-03-12,,,,,,
2021-03-15,0.4446,0.1963,0.3071,4.1878,0.3767,0.7002
2021-03-27,0.4860,0.1827,0.3190,1.9297,0.4345,0.7224
2021-03-30,0.3061,0.1796,0.2169,-2.0612,0.2493,0.7099
2021-04-16,,,,,,
2021-04-21,0.3977,0.1761,0.2517,2.4515,0.3121,0.7282
2021-04-26,0.1802,0.1293,0.1045,-0.9996,0.1130,0.7848
2021-04-29,0.5222,0.1605,0.3202,1.6104,0.4739,0.7533
2021-05-01,,,,,,
2021-05-09,0.2533,0.1255,0.1331,0.6890,0.1965,0.7821
2021-05-11,0.4060,0.0487,0.2498,1.8716,0.3850,0.9304
2021-05-24,0.4234,0.1312,0.2678,2.2176,0.3742,0.7889
2021-05-31,0.4510,0.1076,0.2669,1.9256,0.3991,0.8350
2021-06-10,0.4301,0.1474,0.2788,3.7758,0.3548,0.7583
2021-06-28,0.4038,0.1773,0.2896,-0.8885,0.3033,0.7137
2021-07-03,0.5760,0.1787,0.4162,2.9327,0.5128,0.7149
2021-07-13,0.4604,0.2843,0.3616,-4.7602,0.3480,0.5831
2021-07-18,0.6567,0.2155,0.4599,2.2836,0.5806,0.6825
2021-07-23,0.3965,0.2529,0.2818,1.3467,0.3058,0.6191
2021-07-25,0.4482,0.1813,0.3245,2.2778,0.3681,0.7174
2021-07-28,0.6508,0.2126,0.4630,2.0756,0.5861,0.6859
2021-07-30,0.6109,0.1978,0.4398,2.7191,0.5433,0.6991
2021-08-02,0.6432,0.2266,0.4635,2.1672,0.5829,0.6713
2021-08-04,0.5636,0.1738,0.3846,2.6255,0.4976,0.7401
2021-08-09,0.5821,0.1754,0.3955,2.3502,0.5128,0.7304
2021-08-19,0.4849,0.1916,0.3325,2.5129,0.3936,0.6972
2021-08-24,0.1885,0.0895,0.1103,-1.0993,0.1388,0.8380
2021-08-27,0.4390,0.2183,0.2949,1.3942,0.3570,0.6650
2021-08-29,0.1389,0.0938,0.0616,-0.8813,0.1070,0.8291
2021-09-21,0.5247,0.1060,0.3216,2.0766,0.4765,0.8453
2021-09-28,0.5176,0.0854,0.3119,1.9281,0.4741,0.8764
2021-10-01,0.1108,0.0657,0.0496,-0.4349,0.0616,0.8814
2021-10-21,,,,,,
2021-11-05,0.1674,0.1297,0.0994,-0.9477,0.0992,0.7863
2021-11-10,0.4078,0.0942,0.2571,2.9981,0.3522,0.8539
2021-11-17,0.4300,0.0899,0.2557,2.6979,0.3683,0.8612
2021-11-25,0.1785,0.0699,0.1025,-1.6845,0.1320,0.8725
2021-12-02,0.3269,0.1418,0.2030,-3.4194,0.2504,0.7624
2021-12-05,0.2447,0.1722,0.1576,-1.6728,0.1542,0.7165
2021-12-12,0.4810,0.1458,0.2903,3.2982,0.3937,0.7739
2021-12-20,0.3799,0.1686,0.2556,-0.1299,0.2961,0.7304
2021-12-30,0.0384,0.0868,0.0216,-0.1334,0.0066,0.8419
2022-01-01,0.3837,0.1637,0.2430,1.5710,0.3003,0.7379
2022-01-16,0.3271,0.1913,0.2238,-4.7455,0.2489,0.6944
