date,temperature_2m_max,temperature_2m_min,precipitation_sum,shortwave_radiation_sum,wind_speed_10m_max,relative_humidity_2m_mean
2024-01-01,10.600,7.700,0.200,2.210,8.400,89
2024-01-02,13.200,4.700,0.000,8.940,9.000,84
2024-01-03,14.300,4.000,0.000,10.440,8.300,77
2024-01-04,10.800,4.400,0.600,2.290,9.500,91
2024-01-05,11.000,7.700,0.200,2.480,7.000,86
2024-01-06,14.900,7.500,0.000,9.140,12.400,76
2024-01-07,14.700,8.700,0.000,7.000,7.400,74
2024-01-08,14.300,5.000,0.100,8.450,9.700,85
2024-01-09,15.900,6.400,1.100,10.920,11.900,79
2024-01-10,15.400,3.100,0.000,10.770,10.100,77
2024-01-11,14.600,2.500,0.000,8.250,9.000,85
2024-01-12,15.100,3.900,0.000,8.900,7.800,88
2024-01-13,14.500,4.900,0.000,4.340,9.700,85
2024-01-14,15.300,9.900,1.300,4.530,8.200,82
2024-01-15,16.700,10.300,0.000,7.860,13.700,74
2024-01-16,14.200,9.000,0.000,5.630,12.500,72
2024-01-17,14.000,6.400,0.000,8.290,8.100,77
2024-01-18,15.100,8.300,0.000,8.440,11.600,74
2024-01-19,13.700,8.800,0.200,6.330,11.200,75
2024-01-20,12.300,7.700,2.200,6.310,11.800,74
2024-01-21,8.700,2.900,10.000,1.520,22.600,84
2024-01-22,6.700,0.700,2.000,8.100,10.000,74
2024-01-23,3.900,1.400,1.700,2.800,13.900,83
2024-01-24,4.200,0.700,2.900,3.330,13.300,83
2024-01-25,5.800,-3.100,0.800,7.280,8.200,84
2024-01-26,8.400,-3.400,0.100,10.620,8.400,81
2024-01-27,9.100,0.400,0.800,9.840,9.200,83
2024-01-28,8.900,1.200,0.200,7.010,7.800,81
2024-01-29,9.700,2.900,0.500,6.530,7.600,80
2024-01-30,9.400,4.900,0.000,5.020,6.900,77
2024-01-31,9.700,4.800,0.300,4.180,8.900,81
2024-02-01,12.800,3.300,0.000,9.810,11.600,72
2024-02-02,8.900,6.400,1.700,2.260,13.000,87
2024-02-03,7.300,5.200,1.400,2.970,13.200,80
2024-02-04,10.200,2.600,0.900,9.390,11.900,78
2024-02-05,7.800,4.700,1.000,3.090,10.500,85
2024-02-06,9.600,4.300,0.000,5.150,10.000,81
2024-02-07,8.100,4.400,0.500,4.340,9.700,80
2024-02-08,9.200,2.300,0.400,6.900,8.200,78
2024-02-09,13.900,3.900,0.100,13.710,10.000,77
2024-02-10,14.300,0.900,0.000,13.490,9.700,83
2024-02-11,15.200,2.300,0.000,12.770,9.800,85
2024-02-12,17.100,3.300,0.000,13.370,7.200,81
2024-02-13,18.500,4.000,0.000,14.360,7.500,80
2024-02-14,17.200,6.400,0.600,5.080,15.100,71
